ModelID,StrippedCellLineName,OncotreeSubtype,S100A9,S100A8,CDKN2A,PITX1,KRT5,KRT6A,SERPINB5,CDC20
ACH-001451,BOKU,Cervical Squamous Cell Carcinoma,-0.09818307192589114,-0.04447145194422353,0.22714909880103548,-0.1662952380841937,-0.002595901595142669,-0.22106591338937032,-0.10130045721473394,-2.288720710043597
ACH-001333,C33A,Cervical Squamous Cell Carcinoma,-0.1337675544613429,-0.05686810209993004,-0.026441504975393965,-0.2936386149328724,-0.2071104986239995,-0.20808127589072378,0.24583772896530662,-1.946328229666596
ACH-001334,C4I,Cervical Squamous Cell Carcinoma,-0.04002316423884959,0.05443034036959633,0.03750564314392704,-0.08831184002996101,-0.1732445322181233,-0.08062794252636897,0.004968373062715243,-2.4916622244486493
ACH-001335,C4II,Cervical Squamous Cell Carcinoma,-0.006603650522472401,0.04718905888973209,0.03300452924286015,0.15366956485442695,0.08827996833553509,-0.5493634533382079,-0.005432724836499854,-1.984479565216462
ACH-001336,CASKI,Cervical Squamous Cell Carcinoma,-0.11706500620850675,-0.03133985729844414,-0.05698977743787753,0.019620515159041202,-0.09513728289829121,-0.22974008201705495,0.07291006732638251,-2.0110913200926754
ACH-001341,DOTC24510,Mixed Cervical Carcinoma,0.0906127572687719,0.09038270556015529,0.09950600083968753,-0.1905974726779098,-0.0576696296578707,-0.05406557012206123,0.06355883716548351,-2.1324636656134173
ACH-001513,HCA1,Endocervical Adenocarcinoma,-0.27051089479002505,-0.01757389571134498,0.021172188989779572,-0.3296255602061047,-0.10522726085389711,-0.19721496991508863,0.009056422650050052,-2.684841303491968
ACH-001515,HCS2,Cervical Squamous Cell Carcinoma,-0.09993249133205609,0.06466005273708324,-0.0810690421287299,0.07692401746341325,-0.08514647001715077,-0.1982263866146685,0.038296336635743514,-1.9705815561677391
ACH-002019,HOKUG,Glassy Cell Carcinoma of the Cervix,-0.12534838826923103,0.06833674459720382,0.0684782441331241,-0.1463135845039343,0.07112895751902185,-0.11570574063850059,0.058481868105920216,-2.3995143794500193
ACH-001525,HT3,Cervical Adenocarcinoma,-0.2385710216101217,0.033438213532019305,0.22554355066996726,-0.13831999506082815,0.09935172694735261,-0.08081757678204748,0.12114384294818095,-1.8866242730522487
ACH-001360,MS751,Cervical Squamous Cell Carcinoma,-0.13017762244488415,-0.014055822663794234,0.07694781477516495,0.01875615133618616,-0.028785757311282353,-0.06394826150471589,0.03533161224681325,-2.7353799329625224
ACH-000490,SF767,Cervical Squamous Cell Carcinoma,0.10112750075213876,-0.12579238306191168,0.06243561139572791,-0.05490071480075337,-0.05024473498001744,0.07610705136519202,-0.005952068264103305,-1.8634720570584444
ACH-000556,SIHA,Cervical Squamous Cell Carcinoma,-0.048826494784690144,-0.033029495163140354,0.005880215044373721,-0.0400561919957086,-0.018878438819926048,0.030411292130598733,0.03402216686229748,-2.3652967902475868
ACH-001650,SISO,Cervical Adenocarcinoma,0.018915584393202785,0.10674424481486272,0.029093028429533707,-0.20854246283005823,0.014573023623052704,-0.179144500595943,-0.011480442366753276,-2.191744549093976
ACH-001651,SKGI,Cervical Squamous Cell Carcinoma,0.005869152496654647,-0.19339867531303745,0.025577312262494434,-0.039476350583188935,-0.05301123633158612,-0.4456856548305117,0.009564539984468488,-2.7220956402180465
ACH-001652,SKGII,Cervical Squamous Cell Carcinoma,-0.10261448080711681,-0.047812727259283316,-0.018175326092904703,-0.029812494855517298,0.090236355054298,-0.24627644283407896,0.07919934404920374,-1.9891964247670244
ACH-002020,SKGIIIA,Cervical Squamous Cell Carcinoma,-0.061435107231922886,0.0371015847502181,0.1615695261461641,-0.247416524373947,-0.07779034998975032,-0.04786780020935813,0.03805025100235228,-2.4340337253719238
ACH-001402,SW756,Cervical Squamous Cell Carcinoma,-0.17705460457212704,0.029688794285332592,0.22952676618807463,-0.16920034281753246,-0.1102100637615968,-0.3656115100397139,-0.14761610131981054,-1.9389796334973521
